,index,order,subject,threshold,day,lp_duration,lp_met,ipi,past_he_duration,rew_dummy,gcamp_lp,gcamp_lp_per_sec,gcamp_lp_mod,gcamp_lp_mod_per_sec,gcamp_zscore,gcamp_mod_zscore,gcamp_lp_per_sec_zscore,gcamp_lp_mod_per_sec_zscore
94,165,19,3201,1600,4,1430.0223999992013,0,970.6623999997972,0.0,0.0,39686942,27752671.5665588,25173197.6,17603358.940401256,-0.0381978438892648,-0.0529404205478891,0.0,0.3532760915979647
95,166,20,3201,1600,4,74.24640000611544,0,98.26559999585152,0.0,0.0,2722412,36667259.28497225,1711021.6,23045179.29299022,-0.7059480121788678,-0.6731798016454098,3.0,2.4772767224718644
96,167,21,3201,1600,4,2253.3183999955654,1,77.75999999791384,0.0,0.0,61998563,27514337.521107543,39384082.2,17478258.820447885,0.3648530992057466,0.3227344643882859,0.0,0.304448178053015
97,168,22,3201,1600,4,172.52480000257492,0,52079.116800002754,6631.347200006247,1.0,5382366,31197636.51324139,3401756.0,19717489.8910141,-0.6578969553646028,-0.6284840301254839,1.0,1.1784439916583531
98,169,23,3201,1600,4,242.41279999911785,0,327.61599999666214,0.0,0.0,7477237,30845058.511874,4572199.0,18861211.124233697,-0.6200539079135732,-0.5975425333977327,1.0,0.8442292394237941
99,170,24,3201,1600,4,451.0016000047326,0,6856.332800000906,0.0,0.0,12887583,28575470.685391724,8250013.2,18292647.29862029,-0.5223180662295323,-0.5003168880356114,1.0,0.622312703035301
100,171,25,3201,1600,4,1098.169599995017,0,69.63199999928474,0.0,0.0,30300234,27591579.66140885,19468167.1,17727832.841200795,-0.2077651519731323,-0.2037569767983613,0.0,0.4018595851158599
101,172,26,3201,1600,4,160.12159999459982,0,6762.316800005734,0.0,0.0,4301495,26863927.16626033,2727734.5,17035393.726342943,-0.6774224786743637,-0.6463022699173269,0.0,0.1315931996957433
102,173,27,3201,1600,4,70.13759999722242,0,1159.1552000045776,0.0,0.0,2391850,34102250.43478422,1439084.6,20518018.86658497,-0.7119194889196826,-0.680368650479274,2.0,1.4908990046828905
103,174,28,3201,1600,4,2273.695999994874,1,90.12480000406504,0.0,0.0,56274173,24750086.643125057,34348945.2,15107096.639162598,0.261444172165275,0.1896270213011133,-0.0,-0.6210417577840291
104,175,29,3201,1600,4,2564.473600000143,1,50866.82880000025,10829.504000000656,1.0,62638113,24425329.62710028,38689653.5,15086781.747333191,0.3764063265869581,0.3043767456880104,-0.0,-0.6289708771349212
105,176,30,3201,1600,4,1200.5439999997616,0,64710.860799998045,1560.537600003183,1.0,29678564,24720929.84514178,18214745.9,15172076.908471173,-0.2189953839582434,-0.236892061512691,-0.0,-0.5956792643419027
106,177,31,3201,1600,4,135.62239999324083,0,5173.158400006592,0.0,0.0,3765352,27763496.29698087,2346092.4,17298708.76873529,-0.6871076979501746,-0.6563912514297304,0.0,0.2343678743308317
107,178,32,3201,1600,4,569.875199995935,0,3743.6288000047207,0.0,0.0,14301890,25096529.90707793,8743272.9,15342434.448915076,-0.4967691484626037,-0.48727721554111,-0.0,-0.5291868959922512
